Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	3.0000	959.71	0.0010420	418.22	421.34	1.3050	3.7637	4.2090	1549.4	-0.17868	282.52	0.68068	liquid
150.00	3.0000	918.44	0.0010888	630.47	633.74	1.8390	3.5208	4.2990	1472.7	-0.14423	183.10	0.68375	liquid
200.00	3.0000	865.76	0.0011551	849.39	852.86	2.3282	3.3170	4.4875	1337.3	-0.090800	134.68	0.66458	liquid
233.85	3.0000	821.90	0.0012167	1004.7	1008.3	2.6455	3.2035	4.7186	1213.1	-0.031758	113.94	0.63780	liquid
233.85	3.0000	15.001	0.066664	2603.2	2803.2	6.1856	2.3282	3.6119	504.03	18.338	16.903	0.047263	vapor
250.00	3.0000	14.159	0.070627	2644.7	2856.5	6.2893	2.0556	3.0831	521.35	16.545	17.672	0.046998	vapor
300.00	3.0000	12.318	0.081179	2750.8	2994.3	6.5412	1.7986	2.5414	560.47	12.264	19.973	0.048873	vapor
350.00	3.0000	11.043	0.090556	2844.4	3116.1	6.7449	1.7202	2.3559	591.77	9.4012	22.203	0.052781	vapor
400.00	3.0000	10.062	0.099379	2933.5	3231.7	6.9234	1.6989	2.2801	619.15	7.4253	24.383	0.057694	vapor
450.00	3.0000	9.2690	0.10789	3021.2	3344.8	7.0856	1.7022	2.2514	644.04	6.0046	26.522	0.063197	vapor
500.00	3.0000	8.6062	0.11620	3108.6	3457.2	7.2359	1.7179	2.2464	667.15	4.9453	28.624	0.069101	vapor
550.00	3.0000	8.0406	0.12437	3196.6	3569.7	7.3768	1.7406	2.2548	688.89	4.1321	30.690	0.075304	vapor
600.00	3.0000	7.5503	0.13245	3285.5	3682.8	7.5103	1.7675	2.2715	709.52	3.4929	32.722	0.081734	vapor
650.00	3.0000	7.1198	0.14045	3375.6	3796.9	7.6373	1.7971	2.2934	729.23	2.9810	34.718	0.088336	vapor
700.00	3.0000	6.7383	0.14841	3467.0	3912.2	7.7590	1.8283	2.3189	748.16	2.5646	36.681	0.095066	vapor
750.00	3.0000	6.3972	0.15632	3559.9	4028.9	7.8758	1.8606	2.3466	766.40	2.2214	38.609	0.10190	vapor
800.00	3.0000	6.0903	0.16420	3654.3	4146.9	7.9885	1.8933	2.3758	784.05	1.9353	40.505	0.10881	vapor
850.00	3.0000	5.8123	0.17205	3750.3	4266.5	8.0973	1.9262	2.4058	801.18	1.6945	42.368	0.11580	vapor
900.00	3.0000	5.5593	0.17988	3847.9	4387.5	8.2028	1.9589	2.4361	817.84	1.4899	44.199	0.12285	vapor
950.00	3.0000	5.3279	0.18769	3947.0	4510.1	8.3051	1.9912	2.4664	834.07	1.3148	45.999	0.12996	vapor
1000.0	3.0000	5.1154	0.19549	4047.7	4634.1	8.4045	2.0229	2.4965	849.93	1.1638	47.769	0.13711	vapor
