Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	2.0000	959.24	0.0010425	418.51	420.59	1.3057	3.7652	4.2113	1547.2	-0.17851	282.25	0.68013	liquid
150.00	2.0000	917.87	0.0010895	630.94	633.12	1.8401	3.5218	4.3022	1470.0	-0.14383	182.85	0.68307	liquid
200.00	2.0000	865.00	0.0011561	850.14	852.45	2.3298	3.3176	4.4932	1333.7	-0.089849	134.43	0.66370	liquid
212.38	2.0000	849.80	0.0011767	906.14	908.50	2.4468	3.2737	4.5655	1291.2	-0.071054	126.10	0.65532	liquid
212.38	2.0000	10.042	0.099585	2599.1	2798.3	6.3390	2.1585	3.1910	504.70	22.025	16.144	0.042572	vapor
250.00	2.0000	8.9689	0.11150	2680.2	2903.2	6.5475	1.8102	2.5584	536.98	16.782	17.856	0.043484	vapor
300.00	2.0000	7.9677	0.12551	2773.2	3024.2	6.7684	1.6960	2.3203	569.87	12.323	20.075	0.046815	vapor
350.00	2.0000	7.2150	0.13860	2860.5	3137.7	6.9583	1.6644	2.2324	598.18	9.4275	22.254	0.051373	vapor
400.00	2.0000	6.6131	0.15121	2945.9	3248.3	7.1292	1.6644	2.2013	623.78	7.4454	24.400	0.056624	vapor
450.00	2.0000	6.1146	0.16354	3031.1	3358.2	7.2866	1.6790	2.1966	647.49	6.0217	26.516	0.062319	vapor
500.00	2.0000	5.6921	0.17568	3116.9	3468.2	7.4337	1.7013	2.2062	669.77	4.9596	28.603	0.068337	vapor
550.00	2.0000	5.3278	0.18770	3203.6	3579.0	7.5725	1.7282	2.2241	690.89	4.1438	30.658	0.074606	vapor
600.00	2.0000	5.0097	0.19961	3291.5	3690.7	7.7043	1.7579	2.2473	711.05	3.5025	32.683	0.081075	vapor
650.00	2.0000	4.7289	0.21146	3380.8	3803.8	7.8302	1.7895	2.2740	730.39	2.9889	34.675	0.087705	vapor
700.00	2.0000	4.4790	0.22326	3471.6	3918.2	7.9509	1.8222	2.3029	749.02	2.5711	36.635	0.094462	vapor
750.00	2.0000	4.2550	0.23502	3564.0	4034.1	8.0670	1.8556	2.3333	767.03	2.2267	38.563	0.10133	vapor
800.00	2.0000	4.0528	0.24674	3658.0	4151.5	8.1790	1.8892	2.3645	784.49	1.9398	40.459	0.10828	vapor
850.00	2.0000	3.8694	0.25844	3753.6	4270.5	8.2874	1.9227	2.3962	801.46	1.6982	42.323	0.11532	vapor
900.00	2.0000	3.7021	0.27012	3850.9	4391.1	8.3925	1.9559	2.4278	817.98	1.4930	44.156	0.12242	vapor
950.00	2.0000	3.5489	0.28178	3949.8	4513.3	8.4945	1.9886	2.4592	834.11	1.3175	45.959	0.12959	vapor
1000.0	2.0000	3.4081	0.29342	4050.2	4637.0	8.5936	2.0206	2.4902	849.87	1.1661	47.732	0.13682	vapor
