Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	9.0000	962.48	0.0010390	416.51	425.86	1.3003	3.7546	4.1957	1562.1	-0.17965	284.12	0.68395	liquid
150.00	9.0000	921.77	0.0010849	627.72	637.48	1.8324	3.5152	4.2803	1488.6	-0.14655	184.61	0.68778	liquid
200.00	9.0000	870.21	0.0011491	845.02	855.37	2.3189	3.3132	4.4544	1358.7	-0.096204	136.16	0.66976	liquid
250.00	9.0000	804.60	0.0012428	1074.6	1085.8	2.7815	3.1529	4.8053	1174.7	-0.0058990	107.51	0.62753	liquid
300.00	9.0000	713.07	0.0014024	1331.9	1344.5	3.2533	3.0519	5.7294	913.34	0.21011	86.063	0.54838	liquid
303.34	9.0000	705.16	0.0014181	1351.1	1363.9	3.2870	3.0494	5.8521	890.96	0.23660	84.648	0.54129	liquid
303.34	9.0000	48.804	0.020490	2558.5	2742.9	5.6791	3.0108	6.4710	478.40	10.538	19.830	0.071555	vapor
350.00	9.0000	38.736	0.025816	2724.9	2957.3	6.0380	2.1972	3.6374	544.40	8.7933	22.113	0.064950	vapor
400.00	9.0000	33.378	0.029960	2849.2	3118.8	6.2876	1.9565	2.9423	587.88	7.1203	24.443	0.066035	vapor
450.00	9.0000	29.829	0.033524	2956.3	3258.0	6.4872	1.8626	2.6623	621.84	5.8192	26.683	0.069661	vapor
500.00	9.0000	27.179	0.036793	3056.3	3387.4	6.6603	1.8271	2.5284	650.81	4.8178	28.854	0.074538	vapor
550.00	9.0000	25.072	0.039885	3153.0	3512.0	6.8164	1.8195	2.4611	676.64	4.0381	30.966	0.080172	vapor
600.00	9.0000	23.331	0.042861	3248.4	3634.1	6.9605	1.8271	2.4292	700.29	3.4209	33.026	0.086278	vapor
650.00	9.0000	21.856	0.045755	3343.4	3755.2	7.0953	1.8435	2.4179	722.31	2.9244	35.039	0.092664	vapor
700.00	9.0000	20.581	0.048589	3438.8	3876.1	7.2229	1.8654	2.4195	743.03	2.5192	37.008	0.099202	vapor
750.00	9.0000	19.464	0.051378	3534.9	3997.3	7.3443	1.8909	2.4295	762.72	2.1845	38.936	0.10582	vapor
800.00	9.0000	18.473	0.054132	3632.0	4119.1	7.4606	1.9185	2.4452	781.54	1.9049	40.824	0.11248	vapor
850.00	9.0000	17.588	0.056858	3730.2	4241.9	7.5724	1.9474	2.4646	799.62	1.6691	42.676	0.11917	vapor
900.00	9.0000	16.789	0.059562	3829.6	4365.7	7.6802	1.9770	2.4866	817.07	1.4686	44.492	0.12586	vapor
950.00	9.0000	16.065	0.062248	3930.3	4490.6	7.7844	2.0068	2.5102	833.97	1.2968	46.274	0.13257	vapor
1000.0	9.0000	15.404	0.064918	4032.4	4616.7	7.8855	2.0365	2.5347	850.39	1.1484	48.024	0.13929	vapor
