Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	6.0000	961.10	0.0010405	417.36	423.60	1.3026	3.7591	4.2023	1555.7	-0.17917	283.32	0.68232	liquid
150.00	6.0000	920.11	0.0010868	629.08	635.61	1.8357	3.5180	4.2895	1480.7	-0.14541	183.85	0.68577	liquid
200.00	6.0000	868.00	0.0011521	847.18	854.09	2.3235	3.3151	4.4706	1348.1	-0.093564	135.42	0.66718	liquid
250.00	6.0000	801.23	0.0012481	1078.2	1085.7	2.7886	3.1550	4.8430	1159.1	0.0011583	106.68	0.62378	liquid
275.58	6.0000	758.00	0.0013193	1206.0	1213.9	3.0278	3.0939	5.2116	1033.9	0.089409	95.248	0.58784	liquid
275.58	6.0000	30.818	0.032448	2589.9	2784.6	5.8901	2.7054	4.8794	493.84	13.102	18.510	0.059006	vapor
300.00	6.0000	27.632	0.036189	2668.4	2885.5	6.0703	2.2339	3.6388	525.90	11.712	19.731	0.056981	vapor
350.00	6.0000	23.668	0.042251	2790.4	3043.9	6.3357	1.9251	2.8497	570.29	9.1836	22.104	0.057843	vapor
400.00	6.0000	21.088	0.047419	2893.7	3178.2	6.5432	1.8166	2.5647	604.32	7.3100	24.374	0.061380	vapor
450.00	6.0000	19.170	0.052166	2989.9	3302.9	6.7219	1.7780	2.4376	633.27	5.9291	26.573	0.066143	vapor
500.00	6.0000	17.646	0.056671	3083.1	3423.1	6.8826	1.7705	2.3782	659.11	4.8904	28.716	0.071625	vapor
550.00	6.0000	16.388	0.061021	3175.2	3541.3	7.0307	1.7791	2.3531	682.82	4.0900	30.810	0.077587	vapor
600.00	6.0000	15.322	0.065265	3267.2	3658.7	7.1693	1.7968	2.3476	704.92	3.4599	32.859	0.083877	vapor
650.00	6.0000	14.402	0.069434	3359.6	3776.2	7.3001	1.8201	2.3540	725.76	2.9547	34.866	0.090382	vapor
700.00	6.0000	13.597	0.073545	3453.0	3894.3	7.4246	1.8468	2.3682	745.57	2.5433	36.833	0.097024	vapor
750.00	6.0000	12.884	0.077614	3547.5	4013.2	7.5438	1.8757	2.3874	764.53	2.2040	38.763	0.10375	vapor
800.00	6.0000	12.248	0.081648	3643.2	4133.1	7.6582	1.9059	2.4101	782.77	1.9209	40.656	0.11055	vapor
850.00	6.0000	11.675	0.085655	3740.3	4254.2	7.7685	1.9368	2.4349	800.37	1.6824	42.514	0.11739	vapor
900.00	6.0000	11.156	0.089641	3838.8	4376.6	7.8751	1.9680	2.4612	817.43	1.4798	44.338	0.12426	vapor
950.00	6.0000	10.683	0.093608	3938.7	4500.3	7.9784	1.9990	2.4882	834.00	1.3062	46.129	0.13117	vapor
1000.0	6.0000	10.250	0.097560	4040.1	4625.4	8.0786	2.0297	2.5155	850.14	1.1565	47.890	0.13811	vapor
