Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	10.000	962.93	0.0010385	416.23	426.62	1.2996	3.7531	4.1935	1564.2	-0.17980	284.39	0.68450	liquid
150.00	10.000	922.32	0.0010842	627.27	638.11	1.8313	3.5143	4.2773	1491.2	-0.14692	184.86	0.68845	liquid
200.00	10.000	870.94	0.0011482	844.31	855.80	2.3174	3.3126	4.4491	1362.2	-0.097058	136.41	0.67062	liquid
250.00	10.000	805.70	0.0012412	1073.4	1085.8	2.7792	3.1522	4.7934	1179.7	-0.0081390	107.78	0.62876	liquid
300.00	10.000	715.29	0.0013980	1329.4	1343.3	3.2488	3.0493	5.6807	922.70	0.20097	86.460	0.55067	liquid
311.00	10.000	688.42	0.0014526	1393.5	1408.1	3.3606	3.0438	6.1237	847.33	0.29540	81.795	0.52683	liquid
311.00	10.000	55.463	0.018030	2545.2	2725.5	5.6160	3.1065	7.1408	472.51	9.9124	20.267	0.076543	vapor
350.00	10.000	44.564	0.022440	2699.6	2924.0	5.9459	2.3071	4.0117	534.44	8.6304	22.151	0.068090	vapor
400.00	10.000	37.827	0.026436	2833.1	3097.4	6.2141	2.0084	3.0953	582.00	7.0420	24.487	0.067882	vapor
450.00	10.000	33.578	0.029782	2944.5	3242.3	6.4219	1.8927	2.7473	617.88	5.7753	26.735	0.070989	vapor
500.00	10.000	30.478	0.032811	3047.0	3375.1	6.5995	1.8467	2.5830	647.98	4.7898	28.911	0.075608	vapor
550.00	10.000	28.047	0.035654	3145.4	3502.0	6.7585	1.8333	2.4994	674.57	4.0186	31.027	0.081106	vapor
600.00	10.000	26.057	0.038378	3242.0	3625.8	6.9045	1.8373	2.4576	698.76	3.4065	33.089	0.087139	vapor
650.00	10.000	24.380	0.041018	3337.9	3748.1	7.0408	1.8514	2.4399	721.17	2.9134	35.103	0.093478	vapor
700.00	10.000	22.937	0.043597	3434.0	3870.0	7.1693	1.8717	2.4370	742.20	2.5106	37.071	0.099978	vapor
750.00	10.000	21.677	0.046131	3530.7	3992.0	7.2916	1.8960	2.4438	762.13	2.1775	38.997	0.10656	vapor
800.00	10.000	20.564	0.048629	3628.2	4114.5	7.4085	1.9227	2.4571	781.14	1.8992	40.884	0.11317	vapor
850.00	10.000	19.570	0.051099	3726.8	4237.8	7.5207	1.9509	2.4747	799.38	1.6644	42.733	0.11980	vapor
900.00	10.000	18.675	0.053547	3826.5	4362.0	7.6290	1.9800	2.4952	816.96	1.4647	44.546	0.12644	vapor
950.00	10.000	17.865	0.055976	3927.5	4487.3	7.7335	2.0094	2.5175	833.97	1.2934	46.325	0.13308	vapor
1000.0	10.000	17.126	0.058390	4029.9	4613.8	7.8349	2.0387	2.5411	850.48	1.1456	48.072	0.13972	vapor
