Temperature (C)	Pressure (bar)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)
50	10	0.0010117	209.18	210.19	0.70335
100	10	0.001043	418.8	419.84	1.3065
150	10	0.0010901	631.41	632.5	1.8412
179.88	10	0.0011272	761.39	762.52	2.1381
179.88	10	0.19436	2582.7	2777.1	6.585
200	10	0.20602	2622.2	2828.3	6.6955
250	10	0.23275	2710.4	2943.1	6.9265
300	10	0.25799	2793.6	3051.6	7.1246
350	10	0.2825	2875.7	3158.2	7.3029
