Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	7.0000	961.56	0.0010400	417.08	424.36	1.3019	3.7576	4.2001	1557.9	-0.17933	283.59	0.68286	liquid
150.00	7.0000	920.67	0.0010862	628.63	636.23	1.8346	3.5171	4.2864	1483.4	-0.14579	184.11	0.68644	liquid
200.00	7.0000	868.74	0.0011511	846.46	854.51	2.3220	3.3145	4.4651	1351.7	-0.094458	135.67	0.66804	liquid
250.00	7.0000	802.37	0.0012463	1077.0	1085.7	2.7862	3.1543	4.8301	1164.3	-0.0012527	106.96	0.62504	liquid
285.83	7.0000	739.72	0.0013519	1258.2	1267.7	3.1224	3.0740	5.4025	983.70	0.13450	91.249	0.57188	liquid
285.83	7.0000	36.525	0.027378	2581.0	2772.6	5.8148	2.8115	5.3566	489.11	12.093	18.960	0.062915	vapor
300.00	7.0000	33.907	0.029492	2633.5	2839.9	5.9337	2.4476	4.2898	511.12	11.423	19.679	0.060815	vapor
350.00	7.0000	28.359	0.035262	2770.1	3016.9	6.2304	2.0073	3.0698	562.24	9.0707	22.092	0.059915	vapor
400.00	7.0000	25.026	0.039958	2879.5	3159.2	6.4502	1.8606	2.6786	599.03	7.2546	24.387	0.062804	vapor
450.00	7.0000	22.631	0.044187	2979.0	3288.3	6.6353	1.8052	2.5079	629.53	5.8962	26.603	0.067245	vapor
500.00	7.0000	20.765	0.048157	3074.3	3411.4	6.8000	1.7890	2.4261	656.37	4.8681	28.757	0.072549	vapor
550.00	7.0000	19.244	0.051966	3167.9	3531.6	6.9506	1.7924	2.3880	680.77	4.0738	30.858	0.078413	vapor
600.00	7.0000	17.965	0.055665	3260.9	3650.6	7.0910	1.8068	2.3742	703.38	3.4476	32.911	0.084648	vapor
650.00	7.0000	16.867	0.059286	3354.3	3769.3	7.2231	1.8278	2.3749	724.60	2.9450	34.921	0.091116	vapor
700.00	7.0000	15.911	0.062850	3448.3	3888.2	7.3486	1.8530	2.3851	744.72	2.5356	36.889	0.097726	vapor
750.00	7.0000	15.067	0.066370	3543.3	4007.9	7.4685	1.8807	2.4013	763.92	2.1977	38.818	0.10442	vapor
800.00	7.0000	14.315	0.069855	3639.5	4128.4	7.5836	1.9101	2.4217	782.35	1.9158	40.710	0.11117	vapor
850.00	7.0000	13.640	0.073314	3736.9	4250.1	7.6944	1.9403	2.4448	800.11	1.6781	42.566	0.11796	vapor
900.00	7.0000	13.029	0.076750	3835.7	4373.0	7.8014	1.9710	2.4696	817.30	1.4762	44.387	0.12478	vapor
950.00	7.0000	12.474	0.080168	3935.9	4497.1	7.9050	2.0016	2.4955	833.99	1.3031	46.176	0.13162	vapor
1000.0	7.0000	11.966	0.083571	4037.5	4622.5	8.0055	2.0320	2.5219	850.22	1.1539	47.933	0.13848	vapor
