Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	5.0000	960.63	0.0010410	417.64	422.85	1.3034	3.7607	4.2045	1553.6	-0.17901	283.05	0.68177	liquid
150.00	5.0000	919.56	0.0010875	629.55	634.98	1.8368	3.5190	4.2926	1478.0	-0.14502	183.60	0.68509	liquid
200.00	5.0000	867.26	0.0011531	847.91	853.68	2.3251	3.3157	4.4761	1344.5	-0.092657	135.18	0.66632	liquid
250.00	5.0000	800.09	0.0012499	1079.5	1085.7	2.7910	3.1557	4.8562	1153.8	0.0036311	106.40	0.62251	liquid
263.94	5.0000	777.37	0.0012864	1148.2	1154.6	2.9210	3.1204	5.0368	1087.8	0.047232	100.01	0.60415	liquid
263.94	5.0000	25.351	0.039446	2597.0	2794.2	5.9737	2.5922	4.4380	498.04	14.362	18.032	0.055203	vapor
300.00	5.0000	22.053	0.045346	2699.0	2925.7	6.2110	2.0624	3.1722	538.74	11.950	19.799	0.053847	vapor
350.00	5.0000	19.242	0.051969	2809.5	3069.3	6.4516	1.8501	2.6608	577.87	9.2774	22.127	0.055989	vapor
400.00	5.0000	17.290	0.057837	2907.5	3196.7	6.6483	1.7750	2.4610	609.43	7.3572	24.369	0.060062	vapor
450.00	5.0000	15.792	0.063323	3000.6	3317.2	6.8210	1.7518	2.3717	636.93	5.9582	26.550	0.065105	vapor
500.00	5.0000	14.581	0.068583	3091.7	3434.7	6.9781	1.7526	2.3323	661.83	4.9107	28.681	0.070743	vapor
550.00	5.0000	13.570	0.073694	3182.4	3550.9	7.1237	1.7661	2.3193	684.85	4.1052	30.766	0.076794	vapor
600.00	5.0000	12.706	0.078704	3273.3	3666.8	7.2605	1.7869	2.3216	706.46	3.4716	32.810	0.083135	vapor
650.00	5.0000	11.956	0.083639	3365.0	3783.2	7.3901	1.8124	2.3335	726.91	2.9639	34.814	0.089674	vapor
700.00	5.0000	11.297	0.088518	3457.7	3900.3	7.5136	1.8406	2.3515	746.43	2.5507	36.780	0.096347	vapor
750.00	5.0000	10.712	0.093355	3551.6	4018.4	7.6320	1.8706	2.3737	765.15	2.2100	38.709	0.10311	vapor
800.00	5.0000	10.188	0.098158	3646.9	4137.7	7.7458	1.9017	2.3986	783.19	1.9259	40.603	0.10995	vapor
850.00	5.0000	9.7150	0.10293	3743.6	4258.3	7.8556	1.9333	2.4251	800.64	1.6866	42.463	0.11684	vapor
900.00	5.0000	9.2861	0.10769	3841.8	4380.2	7.9618	1.9649	2.4528	817.56	1.4833	44.290	0.12377	vapor
950.00	5.0000	8.8949	0.11242	3941.5	4503.6	8.0648	1.9964	2.4809	834.02	1.3092	46.084	0.13074	vapor
1000.0	5.0000	8.5364	0.11715	4042.6	4628.3	8.1648	2.0274	2.5091	850.07	1.1590	47.848	0.13775	vapor
